timestamp,phase,raw_x,raw_y,fidelity_x,fidelity_y,phase_cond_x,phase_cond_y
0.0,IDLE,0.396187,0.329206,0.396187,0.329206,0.396187,0.329206
4.0,IDLE,0.537995,0.272256,0.5154128072412607,0.28132499383398824,0.5097149663609195,0.28361324300283225
8.0,IDLE,0.693812,0.195444,0.6705124358168618,0.20800281433173431,0.6508718591210751,0.2175801435520451
12.0,IDLE,0.387093,0.271672,0.48272497440562306,0.243501387784419,0.5433422195724914,0.2303978568307036
16.0,IDLE,0.387093,0.271672,0.41405404455690553,0.2439114289761249,0.5757458115420913,0.20625139039936857
20.0,IDLE,0.28344,0.592033,0.28915875583155437,0.5599313314240162,0.4118031348653775,0.42998147842495127
24.0,IDLE,0.414533,0.204135,0.36362626964627776,0.3202680005607491,0.4078679640951617,0.3364232011823922
28.0,IDLE,0.352303,0.884107,0.3564930781874032,0.7334899913966741,0.3791468779171923,0.5716832581454626
32.0,REACH,0.57853,0.643573,0.5265613488383771,0.7172059914174467,0.5203200715020553,0.6383565528587037
36.0,ALIGN,0.378179,0.323107,0.43736216567014097,0.43294903841964893,0.395946732437446,0.36357363953637634
40.0,INSERT,0.736761,0.270648,0.6630574814827268,0.27422105170402167,0.6776500684828759,0.2535460290330224
44.0,ROTATE,0.384353,0.238549,0.48103352274263844,0.21076012567462624,0.5343451199536137,0.19546837711703408
48.0,WITHDRAW,0.782936,0.617478,0.6977349293410908,0.4992213783232267,0.6822197769634407,0.4027656500639376
52.0,IDLE,0.642287,0.759629,0.681217132629236,0.7317360045382377,0.6864358577159414,0.6234154712397639
56.0,IDLE,0.669258,0.807552,0.6795362390227401,0.8361356410049601,0.6791326695911513,0.8100023458812297
60.0,REACH,0.651977,0.524944,0.661035692230816,0.6306443432296622,0.6561821417203727,0.5903995071114655
64.0,ALIGN,0.391364,0.31891,0.45285148886370863,0.3746083359625501,0.4175229063489132,0.35098124149320165
68.0,INSERT,0.354518,0.318956,0.34670146736706653,0.28824109019252564,0.3371286786909464,0.29870376329339454
72.0,ROTATE,0.251064,0.861236,0.24632286016151003,0.6978010078314654,0.2412764157114667,0.6455456497431385
76.0,WITHDRAW,0.564262,0.469844,0.4648717984971402,0.5715756770034292,0.38903628435052456,0.5970392539907622
80.0,IDLE,0.336937,0.641639,0.3891479158932212,0.6252999763148542,0.36024577408861325,0.6464681178045435
84.0,IDLE,0.577001,0.501413,0.5304640113148806,0.5382638318171893,0.49976457094292237,0.564181015370732
88.0,IDLE,0.37876,0.362685,0.433848944199942,0.3941700273098168,0.4480379865045636,0.43558031085773763
92.0,IDLE,0.336536,0.321939,0.35275522779759383,0.31427848373349077,0.39706470400289173,0.34939006879464973
96.0,IDLE,0.41168,0.189152,0.38360193299534323,0.19751750860946427,0.4034897833672913,0.23972329552249616
100.0,IDLE,0.314088,0.750605,0.3294182912256479,0.5961031729885006,0.3648899690122911,0.42067136429314816
104.0,IDLE,0.674832,0.534622,0.5856776687891609,0.597382166601074,0.48728606127513086,0.45814038517097616
108.0,IDLE,0.907315,0.240696,0.8660133777783339,0.34285578518015986,0.6661170816632747,0.3699255993633781
112.0,IDLE,0.318352,0.369586,0.500307483091455,0.3334644618056804,0.5664384994783545,0.35573919288194294
116.0,IDLE,0.41157,0.232036,0.39970967397862167,0.2430718872831101,0.519977314920566,0.29538945650070286
120.0,IDLE,0.403408,0.390076,0.3755155747805267,0.33767233641070804,0.4786476765231307,0.3130504649757739
124.0,IDLE,0.333146,0.399058,0.3292750920519669,0.3915668562709373,0.419460208807764,0.3343286141006736
128.0,IDLE,0.689793,0.296471,0.5933646899559192,0.32919491386611155,0.5118496738621864,0.31400885054925154
132.0,IDLE,0.269593,0.765717,0.37921992789404874,0.6583676639947696,0.42372168482325223,0.48000577345914264
136.0,IDLE,0.26152,0.849461,0.2708746361274876,0.8505248081434944,0.35229778969132564,0.6404449436297223
140.0,IDLE,0.288991,0.798134,0.26208849571531234,0.8557396127247962,0.31061569213584506,0.7385275612631753
144.0,IDLE,0.846355,0.110777,0.6995669063989702,0.30332657755566106,0.4971277263280849,0.5402496479661091
148.0,IDLE,0.849099,0.193541,0.8737809250046545,0.14595578616999996,0.6446990809732964,0.4110075796007847
152.0,IDLE,0.77196,0.385324,0.8438262754767288,0.2785025765180248,0.7244739025325689,0.3853742061363438
156.0,IDLE,0.672345,0.522944,0.72644900808449,0.46559481457583074,0.7396511650990311,0.4224377735694132
160.0,IDLE,0.378054,0.336447,0.4479482085816189,0.39382496149990465,0.6298806656920134,0.38274841829946676
164.0,IDLE,0.599588,0.154329,0.5191803413281617,0.2103486986052792,0.6245257227455191,0.28416691056089116
168.0,IDLE,0.586183,0.316651,0.5637390483984732,0.26508526651395703,0.6138196871017128,0.27401395459119576
172.0,IDLE,0.435013,0.743927,0.4690708773085292,0.6295337852936694,0.5466678260893397,0.43570753635448284
176.0,IDLE,0.80937,0.185516,0.7173869546352504,0.3415929735103208,0.6389469427232843,0.34879646128823694
